"Español","English","Type"
"arreglar","to fix","verb"
"las reformas","the work to fix something","noun"
"enloquecida","crazed","adjective"
"recoger","to collect","verb"
"desbordar","to be without limits","verb"
"desbordante","spilling over the edges","adjective"
"fallecer","to pass away","verb"
"morir","to die","verb"
"grosero/a","rude","adjective"
"viejo/a","old","adjective"
"anciano/a","old (more respectfully)","adjective"
"o mejor","older / elder","adjective"
"hechos reales","real life / facts","noun"
"mono/a","cute","adjective"
"la vajilla","the croquery","noun"
"orilla","riverbank","noun"
"recien nacido","recently born","adjective"
"negar","to deny","verb"
"la prensa","the press","noun"
"personalizar","to personalise","verb"
"principiente","amateur","adjective"
"azotea","rooftop bar","noun"
"aerolínea","airline","noun"
"haz numeros","""do the numbers""","other"
"tintorería","washing service","noun"
"lavadaría","a launderette","noun"
"evitar","to avoid","verb"
"sin animo de lucro","a non-profit","noun"
"lucrarse","to get money","verb"
"amenazar","to threaten","verb"
"comarca","region","noun"
"gastar","to spend","verb"
"compartar","to bring with / to imply","verb"
"exigir","to demand","verb"
"sentir rabia","to feel angry","verb"
"el reisgo","the risk","noun"
"reivindicar","to reclaim / to defend","verb"
"impuesto","a tax","noun"
"parados/as","the unemployed","noun"
"ayuntamiento","the local government","noun"
"aparcar","to park (a vehicle)","verb"
"enseñanza","education","noun"
"atragantarse","to choke","verb"
"en lugar de","in place of","other"
"acción","a share / a stock","noun"
"la apertura","the opening","noun"
"la marea morada","the purple tide (feminist movement)","noun"
"rescatar","to rescue","verb"
"mattrato","abuse / mistreatment","noun"
"apoyer","to support ","verb"
"estar herido","to be wounded","verb"
"ahorrar","to save","verb"
"poder permitirse","to be able to afford","verb"
"el salseo","the gossip","noun"
"me da pena","I feel bad","other"
"vale le pena","worth the pain","other"
"me ilusiona","to be excited about something coming","verb"
"el oso perezosa","a sloth","noun"
"me da pereza","I don't have the energy to ","verb"
"perezoso/a","lazy","adjective"
"miedoso/a","easily scared","adjective"
"tener celos","to be jealous","verb"
"barriga / tripa","a tummy (fat)","noun"
"consentir","to pamper / to always give in to","verb"
"pelea","a discussion","noun"
"un puente","a bridge / a bank holiday","noun"
"Que va!","No way!","other"
"A mi modo de ver","From my point of view","other"
"comentar","to chat to someone","verb"
"bisabuelo/a","great-grandfather/mother","noun"
"escenario","stage / scenery","noun"
"estar de baja","be on leave (from work)","verb"
"apetecer","to feel like doing something","verb"
"quejarse","to complain","verb"
"paracerse","to resemble","verb"
